,Gene_Name,Series1_NHBE_Mock_1,Series1_NHBE_Mock_2,Series1_NHBE_Mock_3,Series1_NHBE_SARS-CoV-2_1,Series1_NHBE_SARS-CoV-2_2,Series1_NHBE_SARS-CoV-2_3
75,KCNAB2,31,32,55,34,27,86
77,RPL22,4150,3374,6186,3925,4344,11992
78,RNF207,198,267,276,261,248,746
79,ICMT,1369,1213,1963,1107,1153,3580
80,GPR153,738,697,1019,870,678,2044
81,ACOT7,675,588,963,794,494,2017
83,ESPN,515,638,836,485,339,1016
84,TNFRSF25,157,233,279,211,148,531
85,PLEKHG5,922,1100,1485,1197,798,2632
86,NOL9,314,255,396,227,264,646
87,TAS1R1,0,0,0,1,0,1
88,ZBTB48,127,164,210,159,121,396
89,KLHL21,482,428,871,531,462,1241
90,PHF13,216,176,307,158,203,482
91,THAP3,70,80,125,110,76,226
92,DNAJC11,942,760,1497,979,882,2847
93,CAMTA1,200,196,382,190,192,620
94,VAMP3,1627,1366,2414,1279,1405,3847
95,PER3,135,123,216,95,84,224
96,TNFRSF9,7,10,8,6,5,14
97,PARK7,1780,1560,2592,1525,1676,4824
98,ERRFI1,1721,1520,2666,1732,2079,5900
99,SLC45A1,4,3,3,5,0,10
100,RERE,1095,1046,1396,998,898,2542
101,ENO1,28567,23784,37550,29550,25434,77130
104,SLC2A5,18,19,21,9,12,24
105,GPR157,56,63,95,108,43,153
107,H6PD,434,427,620,370,342,997
108,SPSB1,678,692,1030,591,559,1633
109,SLC25A33,13,16,31,23,17,53
110,TMEM201,63,64,82,73,55,148
111,PIK3CD,317,262,479,347,314,944
112,CLSTN1,8324,7861,11675,7746,6743,19880
113,CTNNBIP1,409,344,585,307,276,960
114,LZIC,375,297,556,251,319,935
115,NMNAT1,393,351,629,378,398,1212
